time,x,y,theta,q1,q2,q3,q4
0.314,-0.00349771,0.370937,-0.0893854,-1.23618,2.05918,0.151863,1.51997
0.316,-0.00360534,0.371085,-0.0925131,-1.23094,2.05911,0.157059,1.5185
0.318,-0.00371409,0.371216,-0.0956971,-1.22567,2.05912,0.162343,1.51703
0.32,-0.003824,0.371332,-0.0989404,-1.22036,2.05919,0.167722,1.51554
0.322,-0.00393513,0.371431,-0.102246,-1.215,2.05933,0.1732,1.51404
0.324,-0.00404754,0.371516,-0.105618,-1.20959,2.05953,0.178783,1.51252
0.326,-0.00416129,0.371586,-0.10906,-1.20411,2.0598,0.184475,1.51099
0.328,-0.00427642,0.371641,-0.112573,-1.19857,2.06012,0.190282,1.50943
0.33,-0.00439301,0.371683,-0.116163,-1.19295,2.0605,0.196211,1.50785
0.332,-0.0045111,0.371712,-0.119832,-1.18725,2.06093,0.202265,1.50624
0.334,-0.00463074,0.371727,-0.123583,-1.18146,2.06142,0.208449,1.50461
0.336,-0.004752,0.37173,-0.12742,-1.17557,2.06197,0.214771,1.50294
0.338,-0.00487493,0.37172,-0.131347,-1.16959,2.06256,0.221233,1.50125
0.34,-0.00499958,0.371698,-0.135365,-1.1635,2.06321,0.227842,1.49952
0.342,-0.005126,0.371663,-0.139478,-1.1573,2.06391,0.234603,1.49776
0.344,-0.00525425,0.371617,-0.14369,-1.15098,2.06465,0.241519,1.49596
0.346,-0.00538438,0.371558,-0.148004,-1.14454,2.06544,0.248597,1.49413
0.348,-0.00551643,0.371487,-0.152422,-1.13796,2.06628,0.25584,1.49227
0.35,-0.00565015,0.371405,-0.156942,-1.1311,2.06698,0.263245,1.49036
0.352,-0.00578597,0.37131,-0.161574,-1.12413,2.06776,0.270827,1.4884
0.354,-0.00592394,0.371203,-0.166319,-1.11705,2.06863,0.278591,1.48639
0.356,-0.00606409,0.371083,-0.171179,-1.10984,2.06956,0.286539,1.48432
0.358,-0.00620646,0.37095,-0.176158,-1.1025,2.07057,0.294677,1.48217
0.36,-0.00635111,0.370804,-0.181257,-1.09502,2.07164,0.303008,1.47993
0.362,-0.00649807,0.370645,-0.186478,-1.08739,2.07278,0.311537,1.4776
0.364,-0.00664739,0.370472,-0.191823,-1.07961,2.07397,0.320267,1.47517
0.366,-0.00679879,0.370285,-0.197291,-1.07152,2.07502,0.329193,1.47263
0.368,-0.00695271,0.370084,-0.202888,-1.06329,2.07617,0.33833,1.46997
0.37,-0.00710917,0.369868,-0.208616,-1.05493,2.0774,0.347681,1.4672
0.372,-0.0072682,0.369637,-0.214479,-1.04641,2.07871,0.357248,1.4643
0.374,-0.00742984,0.369392,-0.220476,-1.03774,2.0801,0.367034,1.46128
0.376,-0.00759409,0.36913,-0.226611,-1.0289,2.08154,0.377042,1.45814
0.378,-0.00776101,0.368854,-0.232885,-1.01988,2.08305,0.387274,1.45487
0.38,-0.00793027,0.368561,-0.239294,-1.01053,2.08441,0.397723,1.45148
0.382,-0.00810232,0.368252,-0.245846,-1.00103,2.08588,0.408402,1.44797
0.384,-0.00827714,0.367925,-0.252541,-0.99137,2.08742,0.419311,1.44433
0.386,-0.00845475,0.367582,-0.25938,-0.981539,2.08904,0.430451,1.44057
0.388,-0.00863515,0.36722,-0.266364,-0.971532,2.09073,0.441822,1.4367
0.39,-0.00881568,0.36682,-0.273348,-0.961498,2.09237,0.453184,1.43276
0.392,-0.00899676,0.366379,-0.280338,-0.951611,2.09423,0.464548,1.42877
0.394,-0.00918178,0.365927,-0.287534,-0.941435,2.09614,0.476252,1.42457
0.396,-0.00937058,0.365462,-0.294926,-0.930979,2.09809,0.488279,1.42017
0.398,-0.00956303,0.364984,-0.302509,-0.920254,2.10009,0.500613,1.4156
0.4,-0.00975866,0.36449,-0.310271,-0.909109,2.10192,0.513233,1.41088
0.402,-0.00995777,0.363979,-0.318211,-0.897745,2.10383,0.526135,1.40602
