t,x,theta,u
0.245,-0.190723,0.426416,1.04815
0.246,-0.191738,0.427045,1.07196
0.247,-0.192751,0.427692,1.09551
0.248,-0.193763,0.428358,1.11881
0.249,-0.194772,0.429044,1.14185
0.25,-0.19578,0.429748,1.16465
0.251,-0.196786,0.430472,1.18721
0.252,-0.19779,0.431215,1.20952
0.253,-0.198793,0.431977,1.23159
0.254,-0.199793,0.432759,1.25342
0.255,-0.200791,0.43356,1.27502
0.256,-0.201788,0.434381,1.29639
0.257,-0.202782,0.435222,1.31753
0.258,-0.203775,0.436082,1.33844
0.259,-0.204765,0.436962,1.35912
0.26,-0.205754,0.437863,1.37959
0.261,-0.20674,0.438783,1.39983
0.262,-0.207725,0.439724,1.41986
0.263,-0.208707,0.440684,1.43967
0.264,-0.209687,0.441665,1.45928
0.265,-0.210665,0.442667,1.47867
0.266,-0.211641,0.443688,1.49785
0.267,-0.212615,0.444731,1.51683
0.268,-0.213586,0.445794,1.53561
0.269,-0.214556,0.446877,1.55419
0.27,-0.215523,0.447982,1.57256
0.271,-0.216488,0.449107,1.59075
0.272,-0.217451,0.450254,1.60874
0.273,-0.218411,0.451421,1.62653
0.274,-0.219369,0.452609,1.64414
0.275,-0.220325,0.453819,1.66156
0.276,-0.221278,0.45505,1.6788
0.277,-0.22223,0.456302,1.69585
0.278,-0.223178,0.457576,1.71272
0.279,-0.224125,0.458871,1.72941
0.28,-0.225069,0.460188,1.74593
0.281,-0.226011,0.461526,1.76226
0.282,-0.22695,0.462887,1.77843
0.283,-0.227887,0.464269,1.79442
0.284,-0.228821,0.465673,1.81025
0.285,-0.229753,0.467099,1.82591
0.286,-0.230683,0.468547,1.8414
0.287,-0.23161,0.470017,1.85673
0.288,-0.232534,0.471509,1.87189
0.289,-0.233456,0.473024,1.8869
0.29,-0.234376,0.474561,1.90175
0.291,-0.235293,0.47612,1.91644
0.292,-0.236207,0.477702,1.93097
0.293,-0.237119,0.479307,1.94535
0.294,-0.238029,0.480934,1.95958
0.295,-0.238935,0.482585,1.97366
0.296,-0.239839,0.484258,1.98759
0.297,-0.240741,0.485953,2.00137
0.298,-0.24164,0.487672,2.01501
0.299,-0.242536,0.489414,2.02851
0.3,-0.24343,0.491179,2.04186
0.301,-0.24432,0.492968,2.05507
0.302,-0.245209,0.49478,2.06815
0.303,-0.246094,0.496615,2.08108
0.304,-0.246977,0.498473,2.09388
0.305,-0.247857,0.500355,2.10654
0.306,-0.248735,0.502261,2.11907
0.307,-0.24961,0.50419,2.13147
0.308,-0.250482,0.506143,2.14374
0.309,-0.251351,0.50812,2.15588
0.31,-0.252218,0.510121,2.16789
0.311,-0.253081,0.512146,2.17977
0.312,-0.253942,0.514195,2.19153
0.313,-0.254801,0.516268,2.20316
0.314,-0.255656,0.518366,2.21468
0.315,-0.256509,0.520487,2.22607
0.316,-0.257359,0.522633,2.23734
0.317,-0.258206,0.524804,2.24849
0.318,-0.25905,0.526999,2.25952
0.319,-0.259891,0.529218,2.27044
0.32,-0.26073,0.531462,2.28124
0.321,-0.261565,0.533731,2.29193
0.322,-0.262398,0.536025,2.3025
0.323,-0.263228,0.538344,2.31297
0.324,-0.264056,0.540688,2.32332
0.325,-0.26488,0.543056,2.33356
0.326,-0.265701,0.54545,2.3437
0.327,-0.26652,0.547869,2.35372
0.328,-0.267335,0.550313,2.36364
0.329,-0.268148,0.552783,2.37346
0.33,-0.268958,0.555278,2.38317
0.331,-0.269765,0.557798,2.39277
0.332,-0.270569,0.560344,2.40228
0.333,-0.27137,0.562916,2.41168
0.334,-0.272168,0.565513,2.42098
0.335,-0.272963,0.568136,2.43019
0.336,-0.273756,0.570785,2.43929
0.337,-0.274545,0.573459,2.4483
0.338,-0.275331,0.57616,2.45721
0.339,-0.276115,0.578887,2.46602
0.34,-0.276896,0.58164,2.47474
0.341,-0.277673,0.584419,2.48337
0.342,-0.278448,0.587224,2.4919
0.343,-0.279219,0.590056,2.50034
0.344,-0.279988,0.592914,2.50869
0.345,-0.280754,0.595798,2.51695
0.346,-0.281517,0.598709,2.52512
0.347,-0.282277,0.601647,2.5332
0.348,-0.283034,0.604611,2.54119
0.349,-0.283787,0.607602,2.5491
0.35,-0.284538,0.61062,2.55692
0.351,-0.285286,0.613664,2.56465
0.352,-0.286031,0.616736,2.5723
0.353,-0.286773,0.619834,2.57986
0.354,-0.287512,0.62296,2.58734
0.355,-0.288249,0.626113,2.59474
0.356,-0.288982,0.629293,2.60206
0.357,-0.289712,0.6325,2.60929
0.358,-0.290439,0.635734,2.61644
0.359,-0.291163,0.638996,2.62352
0.36,-0.291884,0.642286,2.63051
0.361,-0.292603,0.645602,2.63743
0.362,-0.293318,0.648947,2.64427
0.363,-0.29403,0.652319,2.65103
0.364,-0.29474,0.655719,2.65772
0.365,-0.295446,0.659146,2.66433
0.366,-0.296149,0.662602,2.67086
0.367,-0.29685,0.666085,2.67732
0.368,-0.297547,0.669596,2.68371
0.369,-0.298242,0.673135,2.69002
0.37,-0.298933,0.676703,2.69626
0.371,-0.299622,0.680298,2.70242
0.372,-0.300308,0.683922,2.70852
0.373,-0.300991,0.687574,2.71454
0.374,-0.301671,0.691254,2.7205
0.375,-0.302347,0.694962,2.72638
0.376,-0.303021,0.698699,2.7322
0.377,-0.303693,0.702465,2.73794
0.378,-0.304361,0.706259,2.74362
0.379,-0.305026,0.710081,2.74923
0.38,-0.305688,0.713932,2.75478
0.381,-0.306348,0.717812,2.76025
0.382,-0.307005,0.721721,2.76566
0.383,-0.307658,0.725658,2.77101
0.384,-0.308309,0.729625,2.77629
0.385,-0.308957,0.73362,2.7815
0.386,-0.309602,0.737644,2.78665
0.387,-0.310244,0.741697,2.79174
0.388,-0.310884,0.74578,2.79676
0.389,-0.31152,0.749891,2.80172
0.39,-0.312154,0.754032,2.80662
0.391,-0.312785,0.758202,2.81146
0.392,-0.313413,0.762401,2.81624
0.393,-0.314039,0.766629,2.82095
0.394,-0.314661,0.770887,2.82561
0.395,-0.315281,0.775174,2.8302
0.396,-0.315898,0.779491,2.83474
0.397,-0.316512,0.783837,2.83921
0.398,-0.317124,0.788213,2.84363
0.399,-0.317733,0.792618,2.84799
0.4,-0.318339,0.797053,2.85229
0.401,-0.318942,0.801518,2.85653
0.402,-0.319543,0.806013,2.86072
0.403,-0.320141,0.810537,2.86485
0.404,-0.320736,0.815091,2.86892
0.405,-0.321329,0.819675,2.87294
0.406,-0.321919,0.824289,2.8769
0.407,-0.322506,0.828933,2.88081
0.408,-0.323091,0.833607,2.88466
0.409,-0.323673,0.838311,2.88846
0.41,-0.324253,0.843045,2.8922
0.411,-0.32483,0.847809,2.89589
0.412,-0.325404,0.852603,2.89953
0.413,-0.325976,0.857427,2.90311
0.414,-0.326546,0.862282,2.90664
0.415,-0.327113,0.867167,2.91012
0.416,-0.327677,0.872082,2.91355
0.417,-0.328239,0.877028,2.91692
0.418,-0.328798,0.882004,2.92025
0.419,-0.329355,0.88701,2.92352
0.42,-0.32991,0.892047,2.92675
0.421,-0.330462,0.897114,2.92992
0.422,-0.331012,0.902212,2.93304
0.423,-0.331559,0.90734,2.93611
0.424,-0.332105,0.912499,2.93914
0.425,-0.332647,0.917689,2.94211
0.426,-0.333188,0.922909,2.94504
0.427,-0.333726,0.92816,2.94791
0.428,-0.334262,0.933442,2.95074
0.429,-0.334796,0.938754,2.95353
0.43,-0.335327,0.944097,2.95626
0.431,-0.335856,0.949471,2.95895
0.432,-0.336383,0.954876,2.96159
0.433,-0.336908,0.960311,2.96418
0.434,-0.337431,0.965778,2.96673
0.435,-0.337951,0.971275,2.96923
0.436,-0.33847,0.976804,2.97169
0.437,-0.338987,0.982363,2.9741
0.438,-0.339501,0.987953,2.97646
0.439,-0.340013,0.993574,2.97878
0.44,-0.340524,0.999227,2.98105
0.441,-0.341032,1.00491,2.98329
0.442,-0.341539,1.01062,2.98547
0.443,-0.342043,1.01637,2.98761
0.444,-0.342546,1.02215,2.98971
