t,x,theta,u
0.198,-0.214198,0.161365,-0.292774
0.199,-0.215759,0.159063,-0.241502
0.2,-0.21732,0.156766,-0.190712
0.201,-0.218882,0.154474,-0.1404
0.202,-0.220443,0.152187,-0.0905639
0.203,-0.222004,0.149906,-0.0412004
0.204,-0.223565,0.147631,0.00769321
0.205,-0.225125,0.145361,0.0561197
0.206,-0.226686,0.143096,0.104082
0.207,-0.228246,0.140838,0.151583
0.208,-0.229805,0.138585,0.198625
0.209,-0.231365,0.136338,0.245212
0.21,-0.232924,0.134096,0.291346
0.211,-0.234482,0.131861,0.33703
0.212,-0.23604,0.129632,0.382268
0.213,-0.237597,0.127409,0.427062
0.214,-0.239154,0.125192,0.471414
0.215,-0.24071,0.122982,0.515329
0.216,-0.242265,0.120777,0.558809
0.217,-0.24382,0.118579,0.601857
0.218,-0.245374,0.116388,0.644476
0.219,-0.246927,0.114203,0.686668
0.22,-0.248479,0.112024,0.728438
0.221,-0.25003,0.109852,0.769788
0.222,-0.25158,0.107687,0.81072
0.223,-0.25313,0.105529,0.851239
0.224,-0.254678,0.103377,0.891346
0.225,-0.256225,0.101232,0.931045
0.226,-0.257771,0.0990941,0.970339
0.227,-0.259317,0.096963,1.00923
0.228,-0.260861,0.0948389,1.04772
0.229,-0.262403,0.0927219,1.08582
0.23,-0.263945,0.0906119,1.12353
0.231,-0.265485,0.0885091,1.16084
0.232,-0.267024,0.0864134,1.19777
0.233,-0.268562,0.0843249,1.23431
0.234,-0.270098,0.0822437,1.27047
0.235,-0.271633,0.0801698,1.30625
0.236,-0.273167,0.0781033,1.34166
0.237,-0.274699,0.0760441,1.37669
0.238,-0.276229,0.0739924,1.41136
0.239,-0.277758,0.0719481,1.44566
0.24,-0.279286,0.0699114,1.47959
0.241,-0.280812,0.0678821,1.51317
0.242,-0.282336,0.0658605,1.54639
0.243,-0.283859,0.0638464,1.57925
0.244,-0.28538,0.06184,1.61176
0.245,-0.286899,0.0598413,1.64392
0.246,-0.288417,0.0578503,1.67574
0.247,-0.289932,0.0558671,1.70721
0.248,-0.291446,0.0538916,1.73834
0.249,-0.292959,0.0519239,1.76913
0.25,-0.294469,0.049964,1.79959
0.251,-0.295978,0.048012,1.82972
0.252,-0.297484,0.0460679,1.85952
0.253,-0.298989,0.0441317,1.88899
0.254,-0.300492,0.0422034,1.91813
0.255,-0.301992,0.0402831,1.94696
0.256,-0.303491,0.0383708,1.97547
0.257,-0.304988,0.0364664,2.00366
0.258,-0.306482,0.0345702,2.03154
0.259,-0.307975,0.0326819,2.05911
0.26,-0.309466,0.0308017,2.08637
0.261,-0.310954,0.0289297,2.11333
0.262,-0.31244,0.0270657,2.13998
0.263,-0.313924,0.0252099,2.16634
0.264,-0.315406,0.0233622,2.19239
0.265,-0.316886,0.0215227,2.21816
0.266,-0.318363,0.0196913,2.24363
0.267,-0.319838,0.0178681,2.26881
0.268,-0.321311,0.0160532,2.29371
0.269,-0.322781,0.0142465,2.31832
0.27,-0.32425,0.012448,2.34265
0.271,-0.325716,0.0106577,2.3667
0.272,-0.327179,0.00887575,2.39047
0.273,-0.32864,0.00710204,2.41397
0.274,-0.330099,0.00533661,2.4372
0.275,-0.331555,0.00357947,2.46015
0.276,-0.333009,0.00183063,2.48284
0.277,-0.33446,9.01035e-05,2.50527
0.278,-0.335909,-0.00164211,2.52743
0.279,-0.337355,-0.003366,2.54934
0.28,-0.338799,-0.00508156,2.57098
0.281,-0.34024,-0.00678878,2.59237
0.282,-0.341679,-0.00848765,2.61351
0.283,-0.343115,-0.0101782,2.6344
0.284,-0.344548,-0.0118604,2.65504
0.285,-0.345979,-0.0135342,2.67543
0.286,-0.347407,-0.0151996,2.69557
0.287,-0.348833,-0.0168567,2.71548
0.288,-0.350255,-0.0185055,2.73514
0.289,-0.351676,-0.0201458,2.75457
0.29,-0.353093,-0.0217778,2.77377
0.291,-0.354508,-0.0234015,2.79272
0.292,-0.35592,-0.0250167,2.81145
