t,x,theta,u
0.27,-0.322044,0.0967845,1.31151
0.271,-0.324274,0.0933945,1.31151
0.272,-0.326502,0.0900123,1.31151
0.273,-0.328729,0.0866377,1.31151
0.274,-0.330955,0.0832707,1.31151
0.275,-0.333179,0.0799112,1.31151
0.276,-0.335401,0.0765589,1.31151
0.277,-0.337623,0.0732138,1.31151
0.278,-0.339842,0.0698757,1.31151
0.279,-0.342061,0.0665446,1.31151
0.28,-0.344278,0.0632203,1.31151
0.281,-0.346493,0.0599027,1.31151
0.282,-0.348708,0.0565917,1.31151
0.283,-0.35092,0.0532872,1.31151
0.284,-0.353132,0.0499889,1.31151
0.285,-0.355342,0.0466969,1.31151
0.286,-0.357551,0.043411,1.31151
0.287,-0.359758,0.0401311,1.31151
0.288,-0.361964,0.036857,1.31151
0.289,-0.364169,0.0335887,1.31151
0.29,-0.366372,0.0303259,1.31151
0.291,-0.368574,0.0270687,1.31151
0.292,-0.370774,0.0238168,1.31151
0.293,-0.372974,0.0205702,1.31151
0.294,-0.375171,0.0173288,1.31151
0.295,-0.377368,0.0140923,1.31151
0.296,-0.379563,0.0108607,1.31151
0.297,-0.381757,0.00763393,1.31151
0.298,-0.38395,0.00441179,1.31151
0.299,-0.386141,0.00119419,1.31151
0.3,-0.388331,-0.00201899,1.31151
0.301,-0.390516,-0.00521691,7.89598
0.302,-0.392694,-0.00838869,7.89598
0.303,-0.394863,-0.0115345,7.89598
0.304,-0.397025,-0.0146544,7.89598
0.305,-0.399179,-0.0177485,7.89598
0.306,-0.401325,-0.020817,7.89598
0.307,-0.403463,-0.0238599,7.89598
0.308,-0.405593,-0.0268774,7.89598
0.309,-0.407715,-0.0298697,7.89598
0.31,-0.40983,-0.0328367,7.89598
0.311,-0.411936,-0.0357787,7.89598
0.312,-0.414035,-0.0386957,7.89598
0.313,-0.416126,-0.0415878,7.89598
0.314,-0.418209,-0.0444553,7.89598
0.315,-0.420285,-0.0472981,7.89598
0.316,-0.422352,-0.0501165,7.89598
0.317,-0.424412,-0.0529104,7.89598
0.318,-0.426464,-0.0556801,7.89598
0.319,-0.428508,-0.0584256,7.89598
0.32,-0.430544,-0.061147,7.89598
0.321,-0.432573,-0.0638445,7.89598
0.322,-0.434593,-0.0665182,7.89598
0.323,-0.436606,-0.0691682,7.89598
